Clone,Ano,Bloco,N_Roots,FRY,ShY,DMC,StY,Plant.Height,HI,StC,Root.Le,Root.Di,Stem.D,Nstem.Plant
BRS Gema de Ovo,2019,3,6,7.083,12.5,33.6633663366337,2.05501673762376,1.37333333333333,36.1691262830006,29.0133663366337,32.3333333333333,42.4533333333333,2.37633333333333,1.33333333333333
BRS Gema de Ovo,2019,4,6.667,1.571,12.429,24,0.3039885,1.39,11.2214285714286,19.35,19.6666666666667,26.1966666666667,2.03633333333333,2.66666666666667
BRS Gema de Ovo,2020,1,1.667,4.5,28.833,26.0764705882353,0.964191176470588,1.12333333333333,13.50013500135,21.4264705882353,18.3333333333333,20.5466666666667,2.29366666666667,2
BRS Gema de Ovo,2020,2,5,4.867,25.167,26.694,1.07288148,1.22666666666667,16.2049677032696,22.044,26.6666666666667,24.42,2.301,1.66666666666667
BRS Gema de Ovo,2020,3,4.667,9.4,32.833,25.626,1.971744,0.976666666666667,22.2574763810291,20.976,25.3333333333333,28.9933333333333,2.107,1
BRS Gema de Ovo,2020,4,6,9.667,31,31.722,2.61705024,1.09,23.7711166301916,27.072,24,28.0266666666667,2.39533333333333,1.33333333333333
BRS Jari,2018,1,2.833,3.25,8,21.5189873417722,0.548242088607595,NA,28.8888888888889,16.8689873417722,16.6666666666667,22.02,NA,NA
BRS Jari,2018,2,2.889,3.333,5.333,NA,NA,0.933333333333333,38.4606508192938,NA,23,37.99,1.61,1.66666666666667
BRS Jari,2018,3,2.917,3.375,4.25,28,0.7880625,0.913333333333333,44.2622950819672,23.35,20.6666666666667,35.0233333333333,1.52766666666667,2
BRS Jari,2018,4,3.667,1.833,3.667,30.5882352941176,0.475447852941176,0.566666666666667,33.3272727272727,25.9382352941176,18,37.83,1.08966666666667,2.33333333333333
BRS Jari,2019,1,7.333,9.143,9.143,20,1.4034505,1.46333333333333,50,15.35,35.6666666666667,33.9433333333333,1.87533333333333,2.66666666666667
BRS Jari,2019,2,9,5.5,8.833,21.7821782178218,0.942269801980198,1.39333333333333,38.3729854182655,17.1321782178218,27.6666666666667,31.5166666666667,1.67133333333333,1.66666666666667
BRS Jari,2019,3,9,1.917,7.5,19.8019801980198,0.29046346039604,1.19333333333333,20.3568015291494,15.1519801980198,19.3333333333333,26.6533333333333,1.68133333333333,3.66666666666667
BRS Jari,2019,4,9.667,7.429,14.714,23.0769230769231,1.36893611538462,1.47333333333333,33.5501061283476,18.4269230769231,28.3333333333333,39.21,1.862,3
BRS Jari,2020,1,8.333,11.9,30,18.1058823529412,1.60125,1.49666666666667,28.4009546539379,13.4558823529412,20,22.7133333333333,2.18133333333333,2.66666666666667
