Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s)
21/07/2016;12,1;10,9;0;31,4;25,7;19,9;58,5;45;2,9
22/07/2016;13;10,8;0;32,2;25,9;22,1;55,8;40;3
23/07/2016;13,3;10,5;0;30,8;25,1;19,8;56,3;43;3,7
24/07/2016;12,5;9,8;0;31,3;25,7;20,7;57,3;45;3,6
25/07/2016;12,1;10,6;0;30,4;25,1;19,4;54,5;46;3,8
26/07/2016;13,6;9,8;0;30,6;25,1;19,5;56,3;40;4,3
27/07/2016;13,5;10,4;0;31;25,5;19,3;56;46;3,3
28/07/2016;13,4;10,3;0;31,6;25,7;20,7;64,8;46;4,4
29/07/2016;12,6;9,5;0;30,1;25;20,7;58,5;46;4,4
30/07/2016;13,6;9,1;0;30;24,1;20,4;68,3;48;4,9
31/07/2016;10,4;10,7;0;30,4;23,6;19,7;67,8;49;3,6
01/08/2016;10,8;5,4;,2;28,6;23,3;19;71,8;60;3,3
02/08/2016;7;7,4;0;29,6;24,4;18,7;62;52;3,6
03/08/2016;10,5;9,5;0;29,8;24,7;18,9;61,3;54;3,6
04/08/2016;14;10,7;0;30,8;24,9;18,8;56,8;40;3,8
05/08/2016;14,5;10;0;30,4;24,9;19,7;64,3;56;3,3
06/08/2016;11,5;11,2;0;31,6;25,7;19,5;55,3;42;3
07/08/2016;13,7;11,2;0;31,2;25,6;19,5;54,5;43;2,9
08/08/2016;12,6;11,1;0;32,4;26,2;20,1;56,5;44;2,6
09/08/2016;11,9;11;0;31,9;26,3;20,3;56,5;45;3
10/08/2016;13,5;11,1;0;32,8;26,7;20,8;52,5;39;3,3
11/08/2016;14;10,8;0;33,9;27,4;20,9;57;48;3,2
12/08/2016;13,5;10,2;0;33;26,7;21,1;56,5;42;3,1
13/08/2016;14,4;11;0;32,2;25,9;19,7;58;43;3,8
14/08/2016;14,5;10,8;0;32,2;26,3;20,1;58,3;44;3
15/08/2016;13,6;11,1;0;33,6;26,8;19,8;49,3;39;2,6
16/08/2016;13,3;11;0;33,6;27,7;21,5;61,8;47;2,3
17/08/2016;11;10,8;0;34,6;28,2;22;56;43;3
18/08/2016;13,6;10,3;0;34,1;27,8;21,5;55,3;41;3
19/08/2016;14,5;10,5;0;32,4;26,7;21,1;57,3;45;3,3
20/08/2016;13,7;6,7;0;32,6;27;22,4;60,8;48;2,1
21/08/2016;11,2;8;0;32,6;26,9;22;63,8;52;2,2
22/08/2016;10,2;11,1;0;37,2;29,1;20,9;48,5;34;2,9
23/08/2016;16,9;11,2;0;33,2;27,5;21,5;51,3;43;4,9
24/08/2016;15,4;6,4;0;30,6;25,9;20,7;60,3;49;4,2
25/08/2016;11,9;5,5;0;28,4;23,4;20,5;78,3;61;3,6
26/08/2016;6,8;8,2;,4;29,6;24,8;20,3;66;55;3,9
27/08/2016;11,1;7,6;0;30,9;25,4;21,1;68,3;54;4,9
28/08/2016;11,1;10,2;0;31,2;25,7;20,9;55,5;45;2,9
29/08/2016;14;9,7;0;31,6;26;21,1;60;47;3
30/08/2016;11,9;9,9;0;32,5;26,8;21,1;58;48;3,1
31/08/2016;12,8;8,3;0;31;26,6;22,8;64,5;55;3,6
01/09/2016;11,7;9,2;0;32,2;26,5;21,5;57,5;44;3,6
02/09/2016;14,1;9,9;0;32,6;26,8;21,5;56,5;43;4,8
03/09/2016;15,1;10,2;0;33;25,9;21,3;61,3;40;5
04/09/2016;13;9,3;0;32;26,1;20,7;60,3;47;3,9
05/09/2016;11,7;7,8;0;31,5;26,1;21,1;62,3;50;3,4
06/09/2016;12,1;10,1;0;32,5;26,2;21;58,8;45;4
07/09/2016;13,9;11,4;0;33,2;27,2;21,1;56;45;3,3
08/09/2016;14,6;10,9;0;33,6;27,7;21,7;53,8;46;3,2
09/09/2016;14,6;11,3;0;32,9;26,4;20,4;55,3;41;4,5
10/09/2016;15,4;9,8;0;32,2;26,9;21,5;55,3;47;2,8
11/09/2016;14;9,7;0;32,4;26,9;21,8;59;47;3,1
12/09/2016;12,8;6,9;0;32,4;27,3;21,4;57;48;3,3
13/09/2016;17;9,9;0;33,4;27,3;21,1;52,8;40;3,6
14/09/2016;15,9;10,6;0;34,4;27,7;21,5;59,5;45;3,3
15/09/2016;15,2;11,1;0;34,6;28,5;20,9;51,8;43;2,6
16/09/2016;15,3;11,1;0;35,6;29,5;22,9;55,5;45;3,6
17/09/2016;15,8;5,7;0;33,9;28,7;24,1;56,8;49;2,2
18/09/2016;13,9;9,9;0;32,2;27;22,5;58,3;47;3,2
19/09/2016;15;11,1;0;33,4;27,3;20,8;56,3;46;3,2
20/09/2016;14,5;11,2;0;35,8;28,5;22,2;55,3;44;2,5
21/09/2016;13,6;11,2;0;36,8;30,3;23,5;52,8;48;3
22/09/2016;14,5;6;0;33,2;28,4;23,8;58;46;3,6
23/09/2016;14;9,3;0;33,4;28;23,5;60,3;48;2,8
24/09/2016;14,1;8,6;0;33;28,4;23,3;57,3;51;2,7
