Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s)
08/12/2016;14;10,8;0;37,6;31,6;28,3;63;56;2,7
09/12/2016;12,5;8,5;0;36,1;31,3;26;60;66;2,9
10/12/2016;13,8;11,1;0;36,5;31,6;26,1;58;54;3
11/12/2016;13,1;9,5;0;36,6;31,9;27,1;64;54;1,4
12/12/2016;14,3;10,4;0;38;31,9;24,7;59;54;2,5
13/12/2016;15,2;5;0;33,2;27,6;24,9;71;61;2,9
14/12/2016;6,5;11;4,7;35,2;30,5;24,7;58;72;2,7
15/12/2016;13,4;10,6;0;35,8;30,7;25,1;59;51;3
16/12/2016;16,2;5,3;0;32,4;28,5;24,3;67;56;3,1
17/12/2016;14,8;7,4;0;34;26,9;23,3;72;67;4
18/12/2016;10,1;3,3;1,6;31,8;27,3;22,9;65;72;4
19/12/2016;13,8;3,5;0;32,6;27,5;23,9;69;62;3,7
20/12/2016;11,7;7,6;,6;33;28,5;23,8;63;62;4,1
21/12/2016;12,6;8,3;,5;34;28,7;23,1;64;64;3,7
22/12/2016;13,5;9,4;0;35;29,6;23,5;61;60;3
23/12/2016;16,9;10,9;0;32,7;27,8;23,2;68;58;2,5
24/12/2016;12,9;11,1;0;34,8;29,4;23,7;58;67;3,2
25/12/2016;17,2;8,9;0;35,8;29,5;23,1;61;53;2,5
26/12/2016;14,1;10,9;0;36,4;29,7;24,7;67;58;2,9
27/12/2016;13,6;11,2;4,2;36,6;30,5;24,5;55;62;3,6
28/12/2016;18,3;6,3;0;33,6;29,3;23,9;64;52;2,5
29/12/2016;15,6;5,4;0;34,8;29,7;24,5;58;62;3,6
30/12/2016;16,8;8,8;0;34,7;29,4;23,8;53;54;3,7
31/12/2016;17;9,4;0;35,4;29,5;23,7;59;47;3,2
01/01/2017;17;11,3;0;36;30,2;23,7;60;54;2,8
02/01/2017;16,6;11,5;0;36,6;30,6;24,1;53;58;3,3
03/01/2017;16;9,1;0;36,4;30,9;24,9;58;46;3
04/01/2017;15,4;9,8;0;35,8;30,3;24,3;58;54;2,5
05/01/2017;16,2;8,6;0;35;29,7;24,7;58;52;3,1
06/01/2017;18,1;5,5;0;34,1;29,2;23;58;56;2,9
07/01/2017;16,5;11,7;0;35,8;29,3;23,2;58;54;4,2
08/01/2017;18,6;11,5;0;35,1;29,5;23,1;58;56;2,5
09/01/2017;17,1;11,1;0;36;30,1;23,1;58;55;2,1
10/01/2017;15,6;10,3;0;36,2;31,4;25;54;53;2,5
11/01/2017;15,1;4,6;0;35;28,7;26,1;51;47;2,1
12/01/2017;11,9;8,5;0;36,6;30,9;26;61;65;4,2
13/01/2017;15,2;7,9;0;35,6;30,3;25,3;58;59;3,3
14/01/2017;14,9;11,5;0;35,2;30,2;24,3;null;52;3,4
15/01/2017;13,6;11,1;0;34,6;30,2;25,5;57;59;4,2
16/01/2017;14,8;9,5;0;35,4;30,1;24,1;58;55;3,4
17/01/2017;15,2;11,8;0;35,6;30;23,6;53;55;3,4
18/01/2017;17,2;11,3;0;36;30,7;24,3;54;49;4,2
19/01/2017;17,3;10,3;0;34,4;29,8;24,5;60;50;2,5
20/01/2017;15,2;10,2;0;35,4;30,2;24,1;55;58;3,4
21/01/2017;16,4;11,6;0;36,2;30,4;24,5;55;49;3,3
22/01/2017;16,1;8;0;35,3;30,1;24,3;61;50;2,7
23/01/2017;15,7;11,3;0;36,8;31,5;25,3;54;57;4,6
24/01/2017;19,5;10,4;0;35,2;30,3;24,9;61;51;2,1
25/01/2017;15;7,2;0;34,6;29,8;24,9;61;59;3,4
26/01/2017;15,3;11,3;0;35,4;30;23,8;56;55;3,3
27/01/2017;16,8;9,5;0;34,6;30;24,7;54;51;3,3
28/01/2017;16,8;7,9;0;35,6;30,3;24,7;57;50;3,3
29/01/2017;17,1;11,5;0;35,4;30,3;24;53;52;2,9
30/01/2017;17,6;11,4;0;35,1;29,9;23,3;55;48;3,8
31/01/2017;17,6;11,5;0;36;30,6;24;55;50;3,3
01/02/2017;19;9;0;36,2;29,3;23,9;58,3;46;3,3
02/02/2017;15,8;6,5;,4;35,2;28,6;25,4;68,8;51;2,4
03/02/2017;11,4;10,5;3,6;35,6;30,5;24,9;57,8;47;3
04/02/2017;15;11,5;0;36,6;31,3;25,5;54,5;47;2,9
05/02/2017;17,5;11,5;0;36,4;31,2;25,2;52,5;50;2,8
06/02/2017;16,2;11,5;0;36,8;31,6;25,3;52,8;44;3
07/02/2017;16,5;10,7;0;36,2;29,1;26,4;65;50;3,5
08/02/2017;10,7;8,8;5,8;35,8;29,4;24,5;59,8;45;3,1
09/02/2017;12,8;9,6;0;36;31,7;26,3;53;49;2,2
10/02/2017;11,6;3,9;7,3;33,8;28;25,4;73,8;51;2,1
11/02/2017;8;7,8;0;33,4;29,1;24,5;55,5;49;2,8
12/02/2017;13,4;3,3;0;32,2;28;23,9;64,8;53;1,4
13/02/2017;11,6;3;0;32,8;28,8;23,9;55,8;49;3
14/02/2017;15,2;0;0;30,8;27,5;24,9;63,5;54;2,9
15/02/2017;10,9;4,9;0;32,6;29;24,9;59,8;50;2,8
16/02/2017;14;7,9;0;33;28,7;22,3;58,8;48;2,8
17/02/2017;15,3;4,4;0;33,8;29,2;23,9;54,5;42;3,5
18/02/2017;14,5;4,6;0;32,4;28,4;24,3;61,5;50;2,4
19/02/2017;10,6;10,4;0;34,9;29,8;24,1;54,5;47;2,5
20/02/2017;14,6;11;0;35,1;30,3;24,2;56,3;46;2,6
21/02/2017;10,4;7,9;50;33,2;25,2;21,7;81;58;1,7
22/02/2017;5,6;10,1;14,4;33,1;28,1;22,3;59,8;46;3,9
23/02/2017;11,1;11,1;0;34,2;29;23,1;57,3;46;2,6
24/02/2017;12,1;10,7;0;34,6;29,8;24,5;59,3;48;2,8
25/02/2017;12,7;8,8;0;34,6;30;24,8;58,3;50;2,5
26/02/2017;11,5;8,6;0;34,8;29,8;24,5;55,8;48;2,8
27/02/2017;10,9;10,9;0;35,6;30,5;24,7;55,5;49;2,8
28/02/2017;13;1,6;0;33,4;29,9;26,2;65,8;53;1,8
01/03/2017;6,1;4,3;5,4;33,1;27,6;23,8;75,3;56;2,2
02/03/2017;8,1;11;0;34,6;29,4;24,4;59,8;46;2,4
03/03/2017;14;6;0;33;28,8;24,1;54;47;2,7
04/03/2017;13,1;11,6;0;34,9;29,4;23,7;57,5;47;2,6
05/03/2017;14,3;10,8;0;35,4;29,8;24,1;59;48;2,5
06/03/2017;13,8;11,3;0;36,4;30,7;24,9;52,5;43;2,4
07/03/2017;15,2;9,5;0;35,6;30,8;25,7;52,5;46;2,8
08/03/2017;14,6;7,4;0;35,4;30,9;26;57,3;48;2,8
09/03/2017;12,8;8,6;0;34,2;29,8;25,3;57,3;51;2,8
10/03/2017;15,5;10,7;0;35,6;29,3;23,8;51,8;34;3,9
11/03/2017;15,3;10,8;0;35;30;24,3;55,3;43;3,1
12/03/2017;14,3;,9;0;32;27,9;24,9;67,8;54;2,4
13/03/2017;8,6;7,5;0;34,5;29,7;25,1;61;50;2,2
14/03/2017;12,6;6;0;33,4;29,3;25,1;60,8;52;1,9
15/03/2017;12,5;5,7;0;32,8;28,6;24,3;60,3;48;2,5
16/03/2017;12,3;11;0;34,9;30,1;24,7;57;50;2,7
17/03/2017;11,4;6,7;,6;35,1;27,9;25,6;71;51;2,8
18/03/2017;8,7;1,1;0;29,1;26,7;24,1;79;76;1,3
19/03/2017;5,1;10,5;0;35,6;30,1;24,3;60;47;2,7
20/03/2017;13,2;11,2;0;35,2;29,8;24;58;51;3,3
21/03/2017;14,3;11,4;0;36;30,3;24,5;55,5;42;2,5
22/03/2017;15,4;11,3;0;35,2;29,6;24,7;56,5;42;4,2
23/03/2017;16,8;11;0;34,6;29,9;24,3;59,3;49;2,2
24/03/2017;15,4;6,9;0;34;29,5;25;61,3;51;2,6
25/03/2017;13,8;10,9;0;35,4;30,2;24,1;59,3;51;2,5
26/03/2017;14,7;11,4;0;36,2;30,9;25,3;53,8;44;2,2
27/03/2017;13,9;11;0;36,6;31,6;26,9;56,5;42;2,6
28/03/2017;14,6;11;0;36,8;30,9;27;57,8;47;3
29/03/2017;11,7;6,3;0;35,6;29,6;27,3;67,5;53;2,2
30/03/2017;9,5;3,9;1;33,2;27,9;24,9;78,5;74;2,6
31/03/2017;5,5;5,5;3,2;33,4;28;22,4;71;56;2,2
01/04/2017;7,3;3,9;1,4;30,8;25,7;23,5;83;69;3
02/04/2017;4,3;4;6,3;31,4;26,7;23,1;74,5;67;2,2
03/04/2017;5,5;6,8;0;33,6;28,2;24,3;70,3;60;2,5
04/04/2017;13,1;11;0;33,8;28,4;23,3;60,8;43;3,7
05/04/2017;13,1;7,5;0;32,8;28,6;23,9;61,5;51;2,5
06/04/2017;12;10,7;0;34,2;28,8;24,5;59,8;51;3,6
07/04/2017;12,9;9,8;0;33,8;28,7;23,7;57;49;2,8
08/04/2017;12,5;10,3;0;34,2;28,8;23,7;59,8;49;2,5
09/04/2017;14,5;9,5;0;33,2;28,8;23,9;61,8;52;3,1
10/04/2017;12,8;9,8;0;34,2;29,3;24,5;57,3;48;2,5
11/04/2017;14,3;10,3;0;34,2;30,3;26,1;58;52;3
12/04/2017;13,4;10;0;35,4;30,5;25,9;60;47;2,8
13/04/2017;13,5;4,9;0;34;29,1;26,5;65;50;3
14/04/2017;11,1;10,4;0;32,4;27,8;24,9;68,3;62;4,1
15/04/2017;9,6;8;0;32,7;28,5;23,9;65,8;58;2,7
16/04/2017;9,3;10;0;32,8;28;23,9;67,8;56;2,5
17/04/2017;9,3;10,2;0;34;29;24,7;63,3;50;3,2
18/04/2017;9,7;11,2;0;35,6;29,3;23,9;60;48;3,2
19/04/2017;13;10;0;34,8;29,2;24,1;57,3;46;3,9
20/04/2017;13,4;8,3;0;32,8;27,4;24,1;65;51;3,1
21/04/2017;10,9;10,9;0;33;28,2;23,9;63,8;56;3,4
22/04/2017;10,4;7,7;0;34,6;28,7;23,3;62,5;52;3
23/04/2017;10,5;11,1;0;35;30,2;25,3;59;48;3,3
24/04/2017;14,5;7;0;34,3;29,3;25,3;61,3;50;2,9
25/04/2017;14,3;11;0;34,2;29;23,6;56,5;45;3,8
26/04/2017;14,7;9,2;0;34,2;29,2;24,1;61,8;52;2,5
27/04/2017;13,1;11,1;0;35,2;29,4;24,1;59;46;3,4
28/04/2017;13,3;7,4;0;34,8;29,6;25,5;59,8;49;3
29/04/2017;14,2;8,5;0;33,8;28,3;23,1;60,8;44;3,9
30/04/2017;15,6;3,5;0;32,4;28;24,1;60;49;3,5
01/05/2017;12,2;6;0;30,8;26,6;23,3;67,8;58;3,1
02/05/2017;11;7;0;31,6;26,9;23,1;62,5;54;3,1
03/05/2017;10,6;8,4;0;32,6;27,5;22,5;60,3;51;2
04/05/2017;11,9;6;0;31,4;27,3;24,1;66,5;56;3,5
05/05/2017;11,6;5,6;0;32,2;27,4;23,4;65,8;54;3
06/05/2017;10,3;10,8;0;34,1;28,2;22,3;57;43;2,8
07/05/2017;13;10,9;0;33,2;28,1;22,7;58,5;48;2,6
08/05/2017;11,9;9,7;0;33,5;28,4;23,1;55;46;2,8
09/05/2017;13,2;10,7;0;33,4;28,5;22,9;56,3;51;3
10/05/2017;12,7;8,6;0;34,4;29;24;57,3;47;2,8
11/05/2017;12,9;10,1;0;33,8;28,5;24,3;58,5;46;3,5
12/05/2017;14;10,8;0;32,4;27,7;23,3;57,3;46;3,2
13/05/2017;13;11;0;32,2;27,2;22,2;63;50;2,9
14/05/2017;11,2;7,3;0;32,1;27,4;22,9;67;59;1,7
15/05/2017;9,6;10,6;0;36;29,9;24,1;63,5;46;1,2
16/05/2017;10,7;10,9;0;36,3;30,9;26,2;49,5;39;1,9
17/05/2017;13;10,1;0;34,8;30,1;25,5;52,3;39;2,5
18/05/2017;13,1;7,5;0;33;27,8;25,1;60,5;46;3,7
19/05/2017;11;2,9;0;29,6;26,3;24;65,8;53;2,5
20/05/2017;8,5;6,6;0;32,4;27,4;23,3;64,5;49;2,5
21/05/2017;10,1;7,1;0;31,2;27,7;24,1;65,5;55;3,6
22/05/2017;9,5;8,3;0;32;28,1;22,8;54;45;2,5
23/05/2017;11,1;,7;0;29,7;25,2;23,5;76,5;54;3,2
24/05/2017;5,5;4,7;3;31,4;26,6;22,5;57,8;49;2,6
25/05/2017;10,3;6,7;0;31,4;26,8;23,9;60,5;46;3,6
26/05/2017;11,6;9,9;0;31,6;27;22,8;51;40;3,3
27/05/2017;13,6;3,5;0;31;26,5;22,7;62,8;53;3,3
28/05/2017;9,1;3,5;0;29;26,2;23;59;57;3,6
29/05/2017;10,2;10,2;0;29,8;24,9;20,5;59,5;48;3,2
30/05/2017;10;10,7;0;31,4;26,3;20,8;51;35;3,2
31/05/2017;11;5,5;0;30,4;26;22,3;68;50;2,5
01/06/2017;8,6;2,9;0;30,8;26,5;23,5;68;62;2,4
02/06/2017;6,9;8,2;0;34;27,9;23,4;62,5;44;2,7
03/06/2017;9,5;9,2;0;33;27,6;24,1;62,3;59;3,7
04/06/2017;10,5;9,8;0;31,2;26;21,7;63,3;53;3,6
05/06/2017;9,1;10,8;0;32,2;26,4;20,1;50,3;39;3,2
06/06/2017;12,8;10,3;0;31,4;26,4;20,5;56;43;2,9
07/06/2017;11,7;7,5;0;31,8;26;21,7;61;41;3,9
08/06/2017;10,5;10,4;0;32,4;26,8;20,9;61,3;39;2,8
09/06/2017;11,5;8,7;0;31,6;27,2;22,5;61,8;47;3
10/06/2017;8,8;10,8;0;33,6;27,6;22,1;49,3;30;2,2
11/06/2017;10,5;10,7;0;33,4;28,2;22,9;53,8;38;2,3
12/06/2017;12,6;10,7;0;32;27,3;22,5;51;45;4,2
13/06/2017;12,4;8,7;0;31,3;25,7;22,9;68,3;47;4,5
14/06/2017;8,6;7,3;0;30,2;25,6;21,7;56,3;45;2,9
15/06/2017;10,4;10,7;0;31,1;25,6;20,1;55,8;41;3,3
16/06/2017;11,9;4;0;29;24,7;20,9;64,3;57;3,9
17/06/2017;9,1;9,2;0;31;24,9;21,5;68,8;46;3,7
18/06/2017;8,9;8,9;2,2;29;24,4;20,8;71,8;61;3,3
19/06/2017;7,9;4,9;0;28,8;24,6;21,4;67,5;54;2,6
20/06/2017;7;8,6;0;29,6;24,7;20,4;67;53;4
21/06/2017;7,7;6,7;,4;29,2;24,5;20,9;64,5;51;4,7
22/06/2017;9,9;9,1;0;29,6;24,8;21,1;63,5;52;3,7
23/06/2017;9,8;5,5;0;28,6;24,7;21,8;69;58;4,3
24/06/2017;8,1;5,7;0;29;24,7;21,7;65,3;53;2,1
25/06/2017;8,9;6,3;0;29,2;24,5;21,9;66,5;51;3,4
26/06/2017;7,7;7,4;0;28;24,1;19,9;64,3;53;3,6
27/06/2017;8,6;7,7;0;28,6;24,2;19,9;60;47;3,7
28/06/2017;9,7;9,5;0;30;24,9;20,1;57,3;44;3
29/06/2017;11,3;7,5;0;29,2;24;20;65,5;51;3,9
30/06/2017;11,4;4,5;0;29,2;24,9;21,7;67;57;3,1
01/07/2017;8,3;1,5;0;28;24,3;21,3;70,3;68;3
02/07/2017;7,5;5,3;0;29,2;25,1;21,3;59;48;2,8
03/07/2017;11,2;5,6;0;27,8;23,1;21,3;68,5;52;4
04/07/2017;12,4;3,9;0;24,8;21,9;19,5;61,8;54;4,3
05/07/2017;9,5;5,8;0;26,2;22,6;19,1;61;54;3,3
06/07/2017;19,7;9,7;0;27,8;23,7;18,9;61,3;52;3,4
07/07/2017;9,7;1,5;0;26,8;23,4;20,4;64,5;55;2,7
08/07/2017;8,6;5,5;0;26,5;22,8;21,5;71;58;4
09/07/2017;7,2;3,8;0;27,6;23,5;19,5;63,5;52;3,1
10/07/2017;9,4;9,5;0;29,7;24,6;19,4;58,5;47;3,5
11/07/2017;10,1;2,9;,1;27,2;23,3;20,5;74,3;58;3,2
12/07/2017;6,7;10,3;,2;28,8;23,5;18,9;66,5;56;3,1
13/07/2017;10,6;5,7;0;28,6;23,5;18,7;63,3;52;4,1
14/07/2017;9,3;6,7;0;27,4;22,7;17,8;61,5;55;3,8
15/07/2017;9,2;7,1;0;28,6;23,2;18,7;63,8;48;3,9
16/07/2017;8,1;10,4;0;29;23,5;18,9;55,3;44;3,3
17/07/2017;13,1;7,2;0;28,9;23,4;18,2;53,5;46;3,2
18/07/2017;11,9;7,2;0;27,9;23,1;19,5;65;48;3,2
19/07/2017;7,2;10;0;29,4;24,4;19,7;59,5;49;4,2
20/07/2017;10,9;1,8;0;28;24;20,9;68;56;3,2
21/07/2017;9,1;9,1;0;30,4;25,4;21,1;58;46;3,8
22/07/2017;11,9;6,1;0;29,6;25,3;21,3;60;51;3,3
23/07/2017;10,6;8,4;0;29,2;24,6;20,4;58,8;47;3,8
24/07/2017;10,9;4,1;0;28,2;23,8;20,9;66,8;54;3,7
25/07/2017;9,1;10;0;29,5;24,1;20,7;59,8;41;4,7
26/07/2017;12;8,8;0;29,6;24,4;19,7;57,8;40;4,2
27/07/2017;11,6;9;0;28,8;24,5;20,3;54;40;2,5
28/07/2017;11,2;9,5;0;29,3;24,1;19,3;59,3;46;4,6
29/07/2017;11,2;8,8;0;29,8;24,1;20,4;58,8;36;4,5
30/07/2017;12,7;6,5;0;27;22,8;19,9;67,3;56;4,4
31/07/2017;8,1;9,1;0;28,6;23,5;18,9;58,8;44;3
01/08/2017;10,5;8;0;29,6;24;19,7;63,5;49;3
02/08/2017;9,6;7;0;30,1;24,9;20,5;60,5;46;2,8
03/08/2017;10,5;10,9;0;31,6;25,8;20,7;57,5;46;3,2
04/08/2017;11,4;11;0;33,6;26,9;20,5;54;40;2,8
05/08/2017;13;10,8;0;33,8;27;21,4;53,3;37;3,2
06/08/2017;14,2;10,6;0;30,4;26,2;21,1;53,3;44;3,8
07/08/2017;12,5;5,3;0;29,3;24,6;21,1;58;45;3,3
08/08/2017;11;10,3;0;29,8;24,7;20,7;55,5;40;3
09/08/2017;11,6;8,7;0;32;26,1;20,7;54,8;42;2,9
10/08/2017;11,4;10,9;0;33,5;27;20,7;48,3;36;2,5
11/08/2017;13,1;10;0;32,4;26,8;21,5;49,8;35;3,3
12/08/2017;15,2;10,6;0;31,8;27,4;20,7;51,8;42;3,8
13/08/2017;13,1;10,7;0;31,6;26,1;20,1;57,5;40;3,3
14/08/2017;13;10,7;0;30,4;25,1;20,5;51,3;40;3,1
15/08/2017;12,3;11;0;30,8;25,1;18,7;49;37;3,2
16/08/2017;12,3;10;0;30,8;25,4;19,5;52,3;38;2,8
17/08/2017;11,4;10,8;0;31,6;26,4;20,8;53,3;45;2,4
18/08/2017;12,2;8;0;32,2;27;21,9;50,3;42;2,8
19/08/2017;13,4;9,1;0;31,8;26,3;22,4;56,8;41;3,6
20/08/2017;12;3,8;0;30,4;25,5;21,1;62,8;52;3,4
21/08/2017;9,6;8,1;0;32,8;27,4;21,9;53,8;42;2
22/08/2017;12,5;10,9;0;30,2;26;21,3;53,5;49;4,8
23/08/2017;12,4;7,6;0;33;25;20,7;63,5;36;4,5
24/08/2017;9,2;3,3;0;28,4;23,9;19,6;67,3;56;3,5
25/08/2017;10,5;10,1;0;30,4;25,4;20,6;53,5;44;3,9
26/08/2017;13,8;10,8;0;29,9;24,5;19,9;59,8;43;4,4
27/08/2017;11,3;8,5;0;30,1;24,8;19,9;62;60;3,3
28/08/2017;11,5;10,6;0;31,4;25,8;20;52,8;39;2,8
29/08/2017;13,1;10,1;0;31,8;26,5;21,7;51,5;40;2,9
30/08/2017;13,1;10,7;0;32,2;26,7;21,5;52,8;41;2,8
31/08/2017;12,1;11,1;0;33;27;20,5;47,8;36;3,3
01/09/2017;13,4;10,8;0;32,4;26,8;21,3;50,3;41;3,9
02/09/2017;15,6;9,2;0;31,4;25,7;20,5;48,5;38;4,3
03/09/2017;14,9;9,4;0;29,8;23,7;20,1;67;45;4
04/09/2017;9;,4;2,6;25;21;18,9;84,8;77;3,9
05/09/2017;5,2;4,8;,2;26,7;22,8;19,9;76;66;3,7
06/09/2017;6,4;5,1;0;28;23,4;20,8;76,8;70;3,6
07/09/2017;7,1;5,7;0;29,6;24,7;21;68;57;3,8
08/09/2017;8,7;9,2;0;30,4;25,5;20,9;54,5;42;3,6
09/09/2017;13,2;11,3;0;30,4;25,4;20,4;54,3;43;3,8
10/09/2017;12,9;6,4;0;30;24,9;21,1;61,5;54;3,8
11/09/2017;11,3;5,7;0;30,2;24,6;20,2;57;40;3,5
12/09/2017;11,8;8,4;3;30,2;23,2;18,8;68,5;47;3,7
13/09/2017;10,7;7,1;0;30;24,7;21;65;52;4,2
14/09/2017;10,1;11,3;0;30,6;24,8;20,3;60,3;46;4
15/09/2017;12,1;11,1;,2;30,8;25,1;19,9;57,5;51;3,7
16/09/2017;13,7;7;0;30,9;25,3;20,6;56,5;42;3,5
17/09/2017;11,8;8;,3;31,6;25,1;21,1;65,5;46;3,8
18/09/2017;10,6;7,1;0;31;24,2;20,7;67,5;44;4,2
19/09/2017;11,2;10;0;31,8;25,2;20,8;62,8;48;4,3
20/09/2017;11,9;9,2;0;31,1;25,4;20,9;57,3;43;4,2
21/09/2017;13,9;7,9;0;30,5;24,4;20,9;65,8;51;3,3
22/09/2017;10,6;2,7;0;27,9;24,4;20,6;62,5;64;3,6
23/09/2017;9,7;7;0;30,5;25,2;20,1;56,5;44;3,9
24/09/2017;11,8;11,1;0;32,6;24,7;19,9;61,5;39;2,8
25/09/2017;12,7;7,2;0;31,2;24,5;19,9;61,5;47;4,2
26/09/2017;11,8;8,8;0;31,4;25,5;20,2;58;46;4
27/09/2017;12,2;8,1;0;33,1;27,2;21,9;55;39;2,5
28/09/2017;13,1;10,7;0;32,7;27,6;22,9;53,8;41;4
29/09/2017;13,4;6,2;0;32,6;26,9;22,7;55,8;39;2,8
30/09/2017;12,7;9,6;0;33,4;27,4;22,2;48;38;3,4
01/10/2017;15,1;10,7;0;35,6;28,1;21,1;47,8;29;3,9
02/10/2017;14,9;10;0;34,6;28,3;22,7;49;31;2,8
03/10/2017;15,8;7,3;0;34,2;27,5;22,2;53;38;3,4
04/10/2017;15,3;8,7;0;33,2;27,6;21,7;49,3;35;3,6
05/10/2017;15,5;11,1;0;33,8;27,4;21,6;48,5;32;4,2
06/10/2017;13,3;10,5;0;33,5;26,3;22,2;58,5;34;3,4
07/10/2017;14,3;6,5;0;33,5;27,1;22,2;50,8;43;2,7
08/10/2017;13,8;7;0;31,8;26,6;21;50,3;40;3,3
09/10/2017;13,5;10,7;0;33;26,9;21,1;50,5;38;3,9
10/10/2017;15,2;11,3;0;33,6;27,5;21,3;45;33;3,4
11/10/2017;16,5;9,7;0;33,2;27,8;21,3;50;40;2,5
12/10/2017;14,1;7,6;0;33,4;27,6;22,3;49;40;3,3
13/10/2017;13,6;10,8;0;33,9;27,9;21,1;48;36;2,8
14/10/2017;15,3;8,7;0;34,2;28,5;22,1;48,5;37;3
15/10/2017;14;8,4;0;34,8;28,9;23,1;51,3;43;3,1
16/10/2017;14,5;11,3;0;34,8;27,8;22,3;45;27;3
17/10/2017;18,7;11,5;0;33,2;27,8;21,7;44,5;34;3,6
18/10/2017;16,9;9,2;0;32,6;27,1;22,7;58,5;42;2,5
19/10/2017;12,6;7,8;0;32,6;27,1;21,6;54,8;39;2,9
20/10/2017;13,6;10,7;0;34,4;28,2;21,7;53,3;41;4,5
21/10/2017;16,6;11,3;0;34,9;29,4;23,9;45,8;34;5
22/10/2017;18,1;11,4;0;34,2;28,5;22,3;44,5;34;5
23/10/2017;17,7;11,4;0;34,2;28,6;21,5;44;32;2,5
24/10/2017;18,2;9,5;0;33,6;28,2;23,4;53,3;42;4,5
25/10/2017;16,2;10,6;0;34,2;28,5;23,1;46,8;35;4,2
26/10/2017;18;9,4;0;33,8;28,1;22,1;54,8;41;3,9
27/10/2017;15,6;7,7;0;35,6;29,5;23,9;50,8;39;2,5
28/10/2017;15,6;9,8;0;35,8;29,6;23,1;40,5;30;3,4
29/10/2017;17,6;10,4;0;36;30,1;23,8;46,5;35;2,9
30/10/2017;19,1;11,4;0;35,8;30,3;23,7;45,5;43;2,2
31/10/2017;15,9;8,5;0;34,4;29,4;24,3;59,5;40;1,9
01/11/2017;11,6;9,9;0;36,6;31,1;25,7;53,5;42;1,7
02/11/2017;14;9,8;0;35,8;30,5;26,1;48,8;37;4
03/11/2017;17,2;7,2;0;33,6;28,1;25,1;62,3;50;2,8
04/11/2017;12,2;10,7;0;34,2;29,2;23,8;49;39;3,8
05/11/2017;14,8;11,4;0;35,6;30,2;23,3;49,3;37;3
06/11/2017;16,6;10,9;0;35,6;30,5;24,1;47,3;39;2,5
07/11/2017;16,1;5;0;33,9;28,9;24,4;53,5;44;2,5
08/11/2017;14,8;1,3;0;30,4;28,2;25,1;59,8;52;2,8
09/11/2017;11,1;8,7;0;34,5;29,4;24,6;49,5;43;3,9
10/11/2017;15,5;11,4;0;35,4;30,1;23,1;47,3;39;2,2
11/11/2017;15,7;11,2;0;35,6;30,5;23,9;47,3;41;2,6
12/11/2017;13,2;11,3;0;39;32,7;25,9;44;32;1,9
13/11/2017;16,1;8;0;36,4;31,3;29,1;50,8;39;2,5
14/11/2017;13,5;0;,2;29,8;25,7;24,3;79;58;2,7
15/11/2017;5,1;5,2;22;32,8;27;23,1;58;41;3,6
16/11/2017;12,9;10,2;0;33,2;28;23,1;52;41;4,2
17/11/2017;14,7;7;0;31,4;26,9;22,1;51,3;45;2,8
18/11/2017;14;10,8;0;34,9;29,2;22,6;47,5;40;2,7
19/11/2017;15,2;11;0;35,9;30,3;23,9;48;39;2,5
20/11/2017;15;11,5;0;36,8;31,1;24,9;41,8;34;1,9
21/11/2017;18,7;11,9;0;35,8;30,2;24;43,3;37;3,4
22/11/2017;17,5;10,7;0;36,2;30,3;24,5;50,3;42;1,9
23/11/2017;14,2;11,7;0;37,4;31,9;25,5;47;39;3
24/11/2017;16,8;9,9;0;35,2;30,3;25,4;43;34;3,3
25/11/2017;18,1;9,6;0;33,5;29,6;24,6;47,5;38;3,3
26/11/2017;14,7;11,8;0;33,6;29;23,4;47,3;38;3,3
27/11/2017;16,2;12;0;35,2;29,6;23,3;43,5;35;3,9
28/11/2017;17,6;11,9;0;35,4;29,8;23,4;43,3;36;2,7
29/11/2017;15,8;11,5;0;35,6;30,5;23,9;44,3;36;2,8
30/11/2017;15,2;11,2;0;36;31;24,9;48,8;37;2,8
01/12/2017;15,6;6,7;0;35,4;30;23,1;50;50;2,5
02/12/2017;15,6;5,6;0;35;30,7;26;53;42;1,7
03/12/2017;13,6;7,9;0;35,6;30,7;26,1;51;53;2,5
04/12/2017;15,1;11,9;0;37,2;31,5;25,3;49;46;2,7
05/12/2017;17,7;11,8;0;38,2;32,7;26,9;42;42;2,3
06/12/2017;18,2;11,6;0;38,4;32,9;26,9;43;36;2,4
07/12/2017;19,2;11,7;0;36,7;31,4;25,3;49;36;2,3
08/12/2017;15,3;9,8;0;34,8;30;26,4;59;41;3,2
09/12/2017;12,2;2;1,3;32,4;26,1;24,1;83;59;2
10/12/2017;3,9;0;7,6;26,2;23,7;22,7;94;86;0
11/12/2017;1,1;1,4;3;30,8;26,6;22,1;80;84;1,5
12/12/2017;5,4;8;0;34,9;28;22,1;80;64;2,9
13/12/2017;9,4;3,3;0;33,9;30;25,4;53;70;2,7
