Clone,NR.P,PTR,PPA,MS,PROD.AMD,AP,HI,AMD,Porte,RF,CR,DR,DCaule,Ácaro,Nº Hastes,Stand_Final,Branching_Level,Staygreen
BGM-0603,0.184500428127202,0.142417780700423,3.67214113003512,-1.72415067920482,-0.036668019802847,0.0797444713430888,-2.39692655351001,-1.69869536250458,-0.127057576529153,0.0398948640767431,0.880484954321372,-1.48956229300074,0.0183149614099951,-0.114410885640002,0.19355265179361,0.421770657980382,0.41778986217253,-0.00172251768350808
BGM-0606,-1.44681032711697,-0.989667407945105,-0.939073427966447,NA,NA,-0.0892755214741123,-6.56630895363782,NA,NA,0.00789552997736719,-3.40759635663867,1.23556492447796,-0.0389228082062737,-0.0102408600494589,NA,NA,NA,NA
BGM-0611,-1.43475305514307,-1.59291614000222,-0.151018132172791,-2.55841788778471,-0.555460261906312,-0.056383886157292,-7.04416493671658,-2.53291939430313,0.199007348307006,0.194940758912295,-2.52831853260431,-3.4857750844003,-0.130320813592607,0.060791676171023,0.597740999026255,0.421770657980382,0.41778986217253,-0.00172251768350808
BGM-0613,0.682306124296042,-0.0410142424217925,-1.51679592667571,-4.58468147929694,-0.357802557200888,-0.167364190536983,3.03343737519299,-4.58961883397475,-0.19285223100606,0.21847385644699,0.733347855388434,1.49041458074704,-0.249179051793172,-0.16113484810733,0.490166720423191,-0.260022661973519,0.179488773972992,-0.0129028702038802
BGM-0615,-1.17578422463467,-0.713700298561212,-2.68466390767382,NA,NA,-0.306619125734992,-0.431415159712756,NA,NA,0.0643283229277397,0.679562746404997,0.42511325310444,-0.18123321181115,0.00636344074836874,NA,NA,NA,NA
BGM-0618,-0.565626430395893,-1.55933206372266,1.70439651542669,1.16497623713056,-0.393080962890356,-0.0994397379162557,-4.10316881134802,1.16830161133605,-0.339430859867506,0.150641950896751,-2.75129519842448,-0.278095906446137,-0.133554645653162,-0.357409991481988,0.673186769949862,0.0736764941457048,-0.315520497293945,-0.0122425368452893
BGM-0620,0.379949923446367,1.57651587502568,0.269270111210916,0.676480484066065,0.336220024537074,0.178104689550586,5.00803972845594,0.679470728423043,-0.339430859867506,0.150641950896751,0.0579775840456069,1.57257213311806,0.191062999416716,0.0153690385375184,-0.25067230943904,0.400179685275474,-0.315520497293945,0.00632545112412614
BGM-0624,-0.0928382534747629,-0.553941358309271,-1.9705686694981,-6.97325518483363,-0.484346595906936,-0.124559652984999,0.809467011179919,-6.96986903499113,0.149666527386732,-0.163048577329037,1.2465160689368,4.26578268832324,0.123941131589445,0.263888391883856,-0.25067230943904,0.400179685275474,0.280965502185332,-0.0122425368452893
BGM-0625,0.387909574459554,-1.24034197048694,-3.12812653953016,-2.48069524585723,-0.361221249508116,-0.106210825804634,-0.711066189636306,-2.4772202477321,1.50626310664725,0.0166872727377022,2.69813791128219,-0.00525186666574254,-0.106624442510575,-0.155075521701153,-0.152949382613221,-1.09029891729751,-0.283369603335917,-0.00709866136867396
BGM-0626,-1.88286738624131,-3.81629290024772,-11.8581149990409,-9.58364337893806,-0.903577174569435,-0.236680249511339,-7.07488667465159,-9.58012213070131,-0.0133659350313475,-0.163048577329037,-4.6421518789332,-5.20141118273856,-0.162624049757907,0.388148068557025,-0.481637079286266,-0.742581483678717,-0.315520497293945,-0.0122425368452893
