"ID_Clone","FRY","HI","N_Roots","Plant.Height","Root.Di","Root.Le","ShY","Stem.D","DMC","Nstem.Plant","StC","StY","pesos"
"BGM0917.250437206",97.207592027397,237.427809918559,66.4440628663378,6.07613484344608,147.198555176764,116.462827742714,147.443938699992,10.6568605874446,NA,NA,NA,NA,828.917781862654
"BGM0919.250437207",74.3250029432327,218.995397241428,55.8480197521866,5.93805805315086,138.753058761839,108.166452136676,112.34106021944,10.2335494508176,405.365825039386,10.4537245614005,223.964993905575,12.5279058796828,1376.91304794482
"BGM0925.250437209",93.1087768462724,225.893179882836,63.4301355195545,6.1113584640859,140.071177420127,113.955651704955,162.285409554572,11.0346174911299,438.09723928845,10.6000079392383,245.47520438639,14.8844198966448,1524.94717839426
"BGM0943.250437224",90.0674261897821,237.637537861586,62.2629144807595,5.87835861858326,139.904637618332,116.452897436654,124.089048376041,10.6226166975688,425.725439867641,10.1645501688441,237.47881116869,13.294862911751,1473.57910139623
"BGM0946.250437233",76.0538208277281,221.380570508396,57.0266718676642,5.92717693857222,139.415702821661,108.721737030437,103.621223720669,10.2523750815953,404.865887297227,10.4852872587294,223.663584837879,12.3299057806295,1373.74394397119
"BGM0947.250437226",105.921996560122,253.277067989601,68.4441887435668,6.12385095437647,146.752773739503,115.219006247005,154.238943878286,10.5925383363635,446.562293539303,10.9989532406275,252.7558372337,15.9036498228079,1586.79110028526
"BGM0948.250437234",82.7350968661516,234.078737828773,58.9306917478688,5.82111445837185,140.204870860665,113.072417048629,117.086480440293,10.4174312550961,413.075090767624,10.2283382074632,229.049742520903,13.025717100715,1427.72572910255
"BGM0949.250437235",82.9530307923739,228.515710864204,57.4913121751279,5.95845976880777,140.57807449767,112.024882003313,125.246538330732,10.556179222483,420.069869634627,10.2375335055509,233.515732408068,13.2398827401417,1440.3872059431
"BGM0955.250437245",100.536590805831,241.278448316255,64.7612351637921,5.86801283331342,144.65086895013,117.813573621508,152.956243190354,10.7088070743272,439.555303636729,10.8951513342384,246.639804789312,15.5907704352104,1551.254810151
"BGM0961.250437240",85.3027619358578,234.988817334097,57.8565799692322,5.86503626346655,141.232905168213,111.636594502368,121.350166145587,10.3467075378174,416.307162061931,10.2046843767376,231.104153805974,13.683901016906,1439.87947011819
"BGM0962.250437248",84.7180229598616,234.321836117676,56.4997497135963,5.91681248929338,139.99570002151,111.610226814378,118.313030660623,10.3852534162614,416.635759839356,10.3048797440034,231.281190870618,13.5954473930637,1433.57791004024
"BGM0967.250494240",95.7183873557516,257.869376907528,66.3190691171949,6.19256277545777,141.783814355325,114.471166305476,133.737969103654,10.4616204574433,435.976067047528,10.3003435129096,243.963537739761,13.9384510086249,1530.73236568665
"BGM0971.250494247",78.0252754312252,228.713235101193,56.7126892017086,5.84391855194628,140.306782252434,111.244740586952,108.090447460873,10.372586453039,416.032101326506,10.2900981556863,230.97993515721,12.7820626027993,1409.39387228157
