trait,Clone,BLUP,BLUPS_mean,drgBLUP_mean
HI,HI.BGM-0247,-0.103346114782798,24.4525848080496,24.3649942915568
HI,HI.BGM-0249,-3.3591848625102,21.1967460603222,11.8181459835967
HI,HI.BGM-0254,-1.64692994951194,22.9090009733205,21.5141852842567
HI,HI.BGM-0279,0.951204701237446,25.5071356240699,27.0533250349791
HI,HI.BGM-0284,3.28236836481466,27.8382992876471,30.6104662118055
HI,HI.BGM-0286,1.14581138544195,25.7017423082744,27.5653839211749
HI,HI.BGM-0287,4.32855996215837,28.8844908849908,36.5078725100133
HI,HI.BGM-0290,-1.9652008564798,22.5907300663526,19.3760166493835
HI,HI.BGM-0298,-4.21273061460078,20.3432003082316,12.8982617510306
HI,HI.BGM-0303,1.90184069361544,26.4577716164479,28.0071094270883
HI,HI.BGM-0318,-1.63283789984456,22.9230930229879,18.3327756898351
HI,HI.BGM-0319,-3.70152639528456,20.8544045275479,14.3409413342171
HI,HI.BGM-0323,5.70277631384333,30.2587072366758,33.4430303636386
HI,HI.BGM-0324,3.47887888789577,28.0348098107282,34.1566996838389
HI,HI.BGM-0337,1.97747889546497,26.5334098182974,29.7500537350903
HI,HI.BGM-0338,0.69292690304241,25.2488578258748,26.3757170575992
HI,HI.BGM-0340,-7.16315875203378,17.3927721707986,5.71678138004502
HI,HI.BGM-0341,-2.35300914058968,22.2029217822427,18.3750069141552
HI,HI.BGM-0349,-0.598251051835129,23.9576798709973,22.9823279550008
HI,HI.BGM-0358,-1.16187891019224,23.3940520126402,21.4983844837345
HI,HI.BGM-0359,-4.0512528922777,20.5046780305547,13.8938351302257
HI,HI.BGM-0360,1.66651240154654,26.222443324379,27.585899643555
HI,HI.BGM-0362,3.07985207875571,27.6357830015881,30.1451426166205
HI,HI.BGM-0366,1.32975573011423,25.8856866529467,28.0470067038491
HI,HI.BGM-0368,3.03843939294186,27.5943703157743,32.537466161118
HI,HI.BGM-0371,-1.77295842660167,22.7829724962308,19.9006500026631
HI,HI.BGM-0384,0.681261184821689,25.2371921076541,26.3487812369018
HI,HI.BGM-0389,-3.50259216451727,21.0533387583151,15.3474503824875
HI,HI.BGM-0394,-0.340999047748769,24.2149318750837,23.6595685394347
HI,HI.BGM-0396,5.41208223991493,29.9680131627474,32.2225764098352
HI,HI.BGM-0398,-1.74455842122588,22.8113725016065,19.9694709549588
HI,HI.BGM-0399,-4.16748140617762,20.3884495166548,11.9563184601444
HI,HI.BGM-0400,0.29104852307348,24.8469794459059,25.3203565258952
HI,HI.BGM-0406,-1.02035803824795,23.5355728845845,21.8726673358267
HI,HI.BGM-0410,0.891171766842197,25.4471026896746,26.8970604116982
HI,HI.BGM-0411,-5.63617190608119,18.9197590167512,3.04907027808549
HI,HI.BGM-0420,2.22839128501419,26.7843222078466,28.8894643414702
HI,HI.BGM-0421,0.848702365852406,25.4046332886848,26.7884059481858
HI,HI.BGM-0424,-4.26807463530155,20.2878562875309,13.3448843721764
HI,HI.BGM-0426,3.94248716495556,28.498418087788,36.4369756090008
HI,HI.BGM-0427,1.42343618196428,25.9793671047967,28.2966273560702
