"Trait","SI","X0","X0_GEBV","X0_GETGV","X0_BLUPS","XS_BLUPS","XS_GEBV","XS_GETGV","XS_GEBV_BLUP","XS_GETGV_BLUP","XS_GETGV_GEBV","kappa_GEBV_BLUP","kappa_GETGV_BLUP","kappa_GETGV_GEBV","kappa_sel_GEBV_BLUP_BLUP","kappa_sel_GETGV_BLUP_BLUP","kappa_sel_GETGV_GEBV_BLUP","kappa_sel_GEBV_BLUP_GEBV","kappa_sel_GETGV_BLUP_GEBV","kappa_sel_GETGV_GEBV_GEBV","kappa_sel_GEBV_BLUP_GETGV","kappa_sel_GETGV_BLUP_GETGV","kappa_sel_GETGV_GEBV_GETGV"
"ShY",10,14.2276081534772,14.2216869099409,14.2222327628607,14.1121977330361,22.3021114534418,16.3503986528058,16.3797689056287,15.6521427497379,15.7609575868571,16.2518492773451,-0.0284335463675497,-0.00136950567366597,0.837615755836703,0.594039389591757,0.594039389591757,-0.0284335463675497,0.377527064040694,0.350463023346811,0.945871918612234,0.296334941959045,0.404591104734577,0.891743837224468
"ShY",15,14.2276081534772,14.2216869099409,14.2222327628607,14.1121977330361,20.7600647586782,16.1315877822102,16.2197625806342,15.6324373112295,15.7283794490705,16.1019619370826,0.0198666296193382,0.0967398351393911,0.807816986199871,0.557979068259701,0.557979068259701,0.0198666296193382,0.461887561359637,0.423450958599611,0.903908493099935,0.48110586273965,0.538760766879689,0.903908493099935
"ShY",20,14.2276081534772,14.2216869099409,14.2222327628607,14.1121977330361,19.8674793429727,15.9697474974132,16.038622615378,15.6112910219602,15.7080217816872,15.963118896656,0.133706877609316,0.179301252471984,0.87841500036622,0.513660001464879,0.498461876510657,0.164103127517761,0.620046876144437,0.635245001098659,0.908811250274665,0.635245001098659,0.680839375961327,0.969603750091555
"ShY",25,14.2276081534772,14.2216869099409,14.2222327628607,14.1121977330361,19.2292426682898,15.8478690496181,15.8848260083075,15.5703993405652,15.6646167593176,15.7968493996669,0.225168035847647,0.238081901916853,0.857947473238735,0.548014687577794,0.509273089370177,0.238081901916853,0.677153348269853,0.702981080408265,0.948344535723177,0.677153348269853,0.728808812546677,0.909602937515559
"ShY",30,14.2276081534772,14.2216869099409,14.2222327628607,14.1121977330361,18.8193525249166,15.7097693688743,15.763348151738,15.5015857668798,15.5319798102851,15.6721973676517,0.295160931061366,0.225832498051008,0.884452611649404,0.537810446597617,0.526255707762557,0.248941975721127,0.757350484463749,0.73424100679363,0.953781044659762,0.688022051453391,0.699576790288451,0.930671566989642
"DMC",10,29.0582529189292,28.9829568893305,28.9829631058769,28.9924232282442,33.6351553877282,30.1086134941216,30.1062692674921,29.7852581532221,29.7853543971477,30.0645163448705,0.0238575268817198,0.0238575268817198,1,0.546790994623656,0.546790994623656,0.0238575268817198,0.477066532258064,0.477066532258064,1,0.477066532258064,0.477066532258064,1
"DMC",15,29.0582529189292,28.9829568893305,28.9829631058769,28.9924232282442,33.2032315605916,30.0032768412397,29.9900033536583,29.7266113594674,29.7267053544945,29.9350468392084,0.0953811712030169,0.0953811712030169,1,0.511016849298928,0.511016849298928,0.0953811712030169,0.584364321904089,0.584364321904089,1,0.584364321904089,0.584364321904089,1
"DMC",20,29.0582529189292,28.9829568893305,28.9829631058769,28.9924232282442,32.3232766367846,29.8965258327986,29.9296038547247,29.6579549976133,29.6580334167781,29.838759830831,0.14671479484602,0.14671479484602,1,0.525952663803345,0.525952663803345,0.14671479484602,0.620762131042676,0.620762131042676,1,0.620762131042676,0.620762131042676,1
"DMC",25,29.0582529189292,28.9829568893305,28.9829631058769,28.9924232282442,32.0121210607996,29.7834210210436,29.7893136177905,29.6081037193999,29.6081651436786,29.7702481743357,0.138937985091831,0.138937985091831,1,0.537577806808576,0.537577806808576,0.138937985091831,0.601360178283255,0.601360178283255,1,0.601360178283255,0.601360178283255,1
"DMC",30,29.0582529189292,28.9829568893305,28.9829631058769,28.9924232282442,31.7988431700818,29.7279417961362,29.7272772878121,29.5618416941356,29.5619067071844,29.7070728745522,0.113070193014092,0.113070193014092,1,0.528818540038737,0.528818540038737,0.113070193014092,0.584251652975356,0.584251652975356,1,0.584251652975356,0.584251652975356,1
"StY",10,1.51637718107623,1.50916866832208,1.50864692556214,1.50086435236779,2.15943480690739,1.70828602508764,1.71376435850875,1.63209955130553,1.65263643118013,1.71061634259379,-0.00606060606060597,-0.00606060606060597,0.856277056277057,0.604761904761904,0.568831168831169,-0.00606060606060597,0.389177489177488,0.425108225108225,0.928138528138528,0.389177489177488,0.425108225108225,0.928138528138528
"StY",15,1.51637718107623,1.50916866832208,1.50864692556214,1.50086435236779,2.0486170750918,1.69284001135795,1.6967619500341,1.63335277135432,1.63376102916243,1.68416404212056,0.11983032873807,0.11983032873807,0.902203369859785,0.608813479439143,0.633262636974196,0.144279486273124,0.511016849298928,0.486567691763874,0.926652527394839,0.511016849298928,0.486567691763874,0.975550842464946
