Clone,Ano,Bloco,row,col,fitted,residuals,trait
BGM-0555,2017,4,1,4,7.92479697389738,2.24220302610262,N_Roots
BGM-0576,2017,1,15,40,3.63297432886452,-1.43297432886452,N_Roots
BGM-0576,2017,2,11,3,3.89288235127594,1.10711764872406,N_Roots
BGM-0576,2017,3,6,37,3.99329920644142,0.839700793558583,N_Roots
BGM-0576,2017,4,2,14,3.64431946815732,-0.977319468157321,N_Roots
BGM-0606,2017,1,15,41,2.75029760762632,0.416702392373682,N_Roots
BGM-0606,2017,2,9,34,2.94209491118388,-0.442094911183882,N_Roots
BGM-0606,2017,3,8,17,2.83626660595536,-1.16926660595536,N_Roots
BGM-0611,2017,1,12,21,3.3201337056812,-0.320133705681195,N_Roots
BGM-0611,2017,2,8,39,3.58157997437186,0.818420025628138,N_Roots
BGM-0611,2017,3,5,51,3.04951996754581,-0.0495199675458116,N_Roots
BGM-0613,2017,1,15,42,5.13663638285905,0.863363617140953,N_Roots
BGM-0613,2017,2,10,48,5.06747915577184,-1.90047915577184,N_Roots
BGM-0613,2017,3,7,48,5.04605992861671,0.953940071383289,N_Roots
BGM-0613,2017,4,4,21,4.68214568682394,0.484854313176061,N_Roots
BGM-0615,2017,1,15,43,3.15632792562535,1.34367207437465,N_Roots
BGM-0615,2017,2,10,11,3.13194758155024,-0.331947581550241,N_Roots
BGM-0615,2017,3,5,23,3.207569675674,-1.707569675674,N_Roots
BGM-0615,2017,4,2,50,2.70296747558519,-0.202967475585194,N_Roots
BGM-0646,2017,1,15,45,3.22173602944242,-1.05473602944242,N_Roots
BGM-0646,2017,2,11,45,3.3352576582942,-0.585257658294198,N_Roots
BGM-0646,2017,3,7,26,3.94862040693896,1.72137959306104,N_Roots
BGM-0646,2017,4,2,26,3.58191331903176,-0.911913319031763,N_Roots
BGM-0649,2017,1,12,22,2.49886607805216,0.251133921947843,N_Roots
BGM-0649,2017,2,8,40,2.32255199372537,0.927448006274632,N_Roots
BGM-0649,2017,3,5,50,2.19756234131405,-1.19756234131405,N_Roots
BGM-0649,2017,4,1,31,1.9008372196059,-1.5678372196059,N_Roots
BGM-0658,2017,1,15,46,2.47338668366426,-0.87338668366426,N_Roots
BGM-0658,2017,2,9,12,2.60116744006659,-1.43416744006659,N_Roots
BGM-0658,2017,3,5,2,2.36414958618401,-0.864149586184009,N_Roots
BGM-0658,2017,4,3,5,1.99490514174969,1.00509485825031,N_Roots
BGM-0665,2017,1,15,47,4.39542308275804,1.10457691724196,N_Roots
BGM-0665,2017,2,9,50,4.45959221937541,-0.292592219375407,N_Roots
BGM-0665,2017,3,6,52,4.53031467965175,-1.86331467965175,N_Roots
BGM-0665,2017,4,4,13,4.07564758321104,1.92435241678896,N_Roots
BGM-0714,2017,1,15,48,5.13708252349357,-0.737082523493568,N_Roots
BGM-0714,2017,2,10,53,5.1356320142215,0.197367985778504,N_Roots
BGM-0714,2017,3,6,36,5.27580432510337,1.39419567489663,N_Roots
BGM-0714,2017,4,3,46,5.04372442230388,-0.64372442230388,N_Roots
BGM-0717,2017,1,15,49,6.66110619253926,1.58889380746074,N_Roots
BGM-0717,2017,2,9,26,7.37823647152196,0.29176352847804,N_Roots
BGM-0717,2017,3,8,36,6.98229206017548,0.187707939824522,N_Roots
BGM-0717,2017,4,1,10,6.69810086496503,1.63189913503497,N_Roots
BGM-0783,2017,1,15,50,4.19192710121009,-1.36192710121009,N_Roots
BGM-0783,2017,2,8,54,4.43096388949925,0.319036110500755,N_Roots
BGM-0783,2017,3,8,20,4.67570559678966,1.82429440321034,N_Roots
BGM-0783,2017,4,4,23,4.05521752718116,-0.722217527181155,N_Roots
BGM-0805,2017,1,15,51,3.78923009263596,0.380769907364035,N_Roots
BGM-0805,2017,2,11,12,4.45818072777677,0.684819272223234,N_Roots
BGM-0805,2017,3,7,54,4.27921763495225,-1.10921763495225,N_Roots
BGM-0806,2017,1,15,52,4.7806726554434,0.819327344556602,N_Roots
BGM-0806,2017,2,10,41,4.94979178362229,0.217208216377714,N_Roots
BGM-0806,2017,3,8,23,4.91852848189018,-0.168528481890183,N_Roots
BGM-0806,2017,4,2,24,4.66705288465924,-0.41705288465924,N_Roots
BGM-0813,2017,1,15,53,5.11864238354466,1.04835761645534,N_Roots
BGM-0813,2017,2,10,3,5.50953965680078,0.657460343199219,N_Roots
BGM-0813,2017,3,8,18,5.22692044425906,-0.893920444259065,N_Roots
BGM-0834,2017,1,15,54,4.32039004225697,0.879609957743026,N_Roots
BGM-0834,2017,2,10,32,4.4456329537163,-1.0456329537163,N_Roots
BGM-0834,2017,3,7,14,4.67649753527579,-1.67649753527579,N_Roots
BGM-0834,2017,4,4,26,4.4289680932489,1.9040319067511,N_Roots
BGM-0841,2017,1,14,54,5.45884492449395,-1.29184492449395,N_Roots
BGM-0841,2017,2,10,1,5.195649876834,-0.0286498768339953,N_Roots
BGM-0841,2017,3,6,16,5.67191955365519,0.128080446344806,N_Roots
BGM-0841,2017,4,1,8,5.34795290160622,2.15204709839378,N_Roots
BGM-0843,2017,1,14,53,3.12698110671118,-0.793981106711183,N_Roots
BGM-0843,2017,2,12,1,3.01672004407711,0.316279955922889,N_Roots
BGM-0843,2017,3,6,35,3.72937348329738,0.437626516702625,N_Roots
BGM-0850,2017,1,14,52,5.84014807121584,2.15985192878416,N_Roots
BGM-0850,2017,2,10,22,6.2549341510709,-0.0879341510708986,N_Roots
BGM-0850,2017,3,7,4,5.96431981054829,0.435680189451708,N_Roots
BGM-0850,2017,4,2,5,5.538324739426,-0.138324739425997,N_Roots
BGM-0851,2017,1,14,51,5.03954571255994,1.29345428744006,N_Roots
BGM-0851,2017,2,12,12,5.70849634770074,0.291503652299256,N_Roots
BGM-0851,2017,3,8,33,5.44915080922474,0.383849190775264,N_Roots
BGM-0851,2017,4,4,18,5.02606784096091,-1.02606784096091,N_Roots
BGM-0859,2017,1,14,50,3.87274933844007,-1.62274933844007,N_Roots
BGM-0859,2017,2,11,37,4.3580638684283,0.6419361315717,N_Roots
BGM-0859,2017,3,8,19,4.24353976113234,0.356460238867663,N_Roots
BGM-0859,2017,4,2,54,3.7236598116669,-1.0536598116669,N_Roots
BGM-0873,2017,1,14,49,5.1132572303559,-0.946257230355897,N_Roots
BGM-0873,2017,2,11,52,5.41383130013023,-1.21383130013023,N_Roots
BGM-0873,2017,3,7,9,5.5359714809492,2.2940285190508,N_Roots
BGM-0873,2017,4,2,27,5.26163175204546,0.568368247954542,N_Roots
BGM-0875,2017,1,14,48,5.33086758403636,0.499132415963643,N_Roots
BGM-0875,2017,2,10,43,5.5355916641824,2.0644083358176,N_Roots
BGM-0875,2017,3,5,9,5.57111776860324,0.428882231396756,N_Roots
BGM-0875,2017,4,2,42,5.23894175376479,-1.73894175376479,N_Roots
BGM-0886,2017,1,14,47,3.31272031635541,-1.31272031635541,N_Roots
BGM-0886,2017,2,9,11,3.4177432438755,0.915256756124503,N_Roots
BGM-0886,2017,3,5,14,3.74499047657719,0.588009523422811,N_Roots
BGM-0886,2017,4,2,33,3.03389585169633,-0.863895851696332,N_Roots
BGM-0898,2017,1,14,46,7.73472306333872,-0.0647230633387208,N_Roots
BGM-0898,2017,2,9,13,7.58362647353225,0.583373526467748,N_Roots
BGM-0898,2017,3,6,11,7.59887935838188,0.401120641618116,N_Roots
BGM-0898,2017,4,1,1,6.94011696249761,2.22688303750239,N_Roots
BGM-0914,2017,1,14,45,3.54177321725387,-1.20877321725387,N_Roots
BGM-0914,2017,2,11,44,3.83529965475114,0.764700345248861,N_Roots
BGM-0914,2017,3,6,7,3.92152952530065,1.57847047469935,N_Roots
BGM-0914,2017,4,2,30,3.75618921621515,-1.50618921621515,N_Roots
BGM-0915,2017,1,14,44,3.49994709493304,-0.499947094933044,N_Roots
BGM-0915,2017,2,11,40,3.66311841955556,-1.16311841955556,N_Roots
BGM-0915,2017,3,7,19,3.81681678813986,1.51318321186014,N_Roots
BGM-0915,2017,4,4,38,3.26219022094953,-0.26219022094953,N_Roots
BGM-0917,2017,1,14,43,4.24125194802936,-0.441251948029365,N_Roots
BGM-0917,2017,2,12,6,4.75797630601471,0.912023693985287,N_Roots
BGM-0917,2017,3,6,54,4.28011374533378,0.052886254666217,N_Roots
BGM-0917,2017,4,1,19,4.06657951898483,-0.566579518984827,N_Roots
BGM-0925,2017,1,14,42,5.48089822874045,-1.23089822874045,N_Roots
BGM-0925,2017,2,10,54,5.44970284855528,0.55029715144472,N_Roots
BGM-0925,2017,3,7,18,5.29152529539202,1.37547470460798,N_Roots
BGM-0967,2017,1,14,40,5.4341625490853,0.965837450914697,N_Roots
BGM-0967,2017,2,11,10,5.66080235782614,0.339197642173864,N_Roots
BGM-0967,2017,3,7,21,5.51304068417552,0.153959315824476,N_Roots
BGM-0973,2017,1,14,39,5.25607434831184,0.943925651688164,N_Roots
BGM-0973,2017,2,11,7,5.29289500586505,-1.29289500586505,N_Roots
BGM-0973,2017,3,8,27,5.43797440592886,0.895025594071139,N_Roots
BGM-0973,2017,4,2,52,4.83534055104411,0.164659448955891,N_Roots
BGM-0975,2017,1,14,38,7.19239970032007,1.55760029967993,N_Roots
BGM-0975,2017,2,11,27,7.54322124186839,0.856778758131606,N_Roots
BGM-0975,2017,3,6,8,7.48296138306442,0.847038616935582,N_Roots
BGM-0975,2017,4,2,18,6.81578330582628,-0.215783305826283,N_Roots
BGM-0982,2017,1,14,37,3.28553745115952,1.51446254884048,N_Roots
BGM-0982,2017,2,8,53,2.99984735328634,-1.49984735328634,N_Roots
BGM-0982,2017,3,6,21,3.09619311036948,0.103806889630517,N_Roots
BGM-0982,2017,4,2,10,2.85582846895777,-0.18882846895777,N_Roots
BGM-0989,2017,1,14,36,5.1707839523669,1.1592160476331,N_Roots
BGM-0989,2017,2,11,36,5.28430558121868,-1.78430558121868,N_Roots
