"ID_Clone","FRY","HI","N_Roots","Plant.Height","Root.Di","Root.Le","ShY","Stem.D","DMC","Nstem.Plant","StC","StY","pesos"
"CNPMF442.250370660",106.237720870565,257.283395774684,82.2174721920319,6.57586596693864,135.276977289331,125.98969877916,162.254015676816,10.8552150071697,386.977524261988,10.1418937541914,211.477576234726,14.2195674709971,1509.5069232786
"CNPMF443.250370671",54.2828817227834,195.150542127622,42.2994018077412,5.78128637064149,139.722534009954,103.924467273542,63.7909947666503,10.0541311231497,581.876227409558,10.2588804995448,341.240717818545,11.262732687818,1559.64479761755
"CNPMF447.250370684",100.47842299019,250.841686464256,76.8991066465483,5.52253770190278,148.042900778822,111.41652274983,150.215180867357,11.0309942827555,415.658764610923,11.2966796025952,230.931848422749,15.0876009894467,1527.42224610738
"CNPMF448.250370695",97.345204673564,262.540857505939,75.4706571412336,5.86247183133615,150.880049206392,111.567309829654,102.322900605303,10.2502736383326,388.568154792402,10.8438142263118,212.726180081388,14.0308057270343,1442.40867925889
"CNPMF449.250370696",111.285522464297,278.653045100416,66.4234098048417,5.82462563952756,151.900774568195,118.274139710704,116.011010290041,10.5279855822176,446.276133737185,11.6627214437857,251.147945509418,16.2084603610844,1584.19577421171
"CNPMF451.250370708",146.285587253347,312.991001812679,94.6373967330363,6.15764517103684,163.975970238043,121.599621487364,150.402617627383,10.3756608160096,420.169589056398,12.8491041720151,233.929893961435,18.9337706242783,1692.30785895303
"CNPMF46.250370283",130.31039144495,260.661881158099,62.689812228025,6.17784581114645,151.14806889782,123.721099296383,189.757717911831,10.8721910835266,449.11451285292,10.825373741667,252.531331946595,18.4276561297658,1666.23788250273
"CNPMF462.250370650",59.8219578588722,201.546601248242,44.4233821661728,5.60512129535798,132.441013618971,101.620718426568,72.6444017052136,10.0003862025734,448.816505929683,10.9608009716653,252.802125818013,11.709750022208,1352.39276526354
"CNPMF463.250370661",85.7650624808482,263.612324889395,59.6159989094316,5.87792488149888,143.130310671806,118.290161981095,82.3985107836911,10.7428603594517,429.989310231403,9.79093351813113,240.222392390585,13.7115212578639,1463.1473123552
"CNPMF464.250370662",78.4944217940288,194.951713869859,33.6225675012282,6.73186618835796,138.671011982065,123.020645202399,144.906933636494,11.1704685772336,444.958799765701,9.30790493158711,250.252761458354,13.0822451127462,1449.17134002005
"CNPMF470.250370697",58.4711569154876,201.29031534578,43.7931874229466,5.50437239674092,125.932269608656,107.365528062306,68.9213201824203,10.157249770731,412.639984179141,9.32298653671747,228.858034800278,11.3574213637256,1283.61382658493
"CNPMF471.250370698",119.092122243655,262.404450478685,70.6166165026803,5.88883555279008,158.740054744066,121.841228049554,171.657787655632,10.9989095717881,450.294566330029,10.3758672448982,253.976441617662,16.9277370306084,1652.81461702205
"CNPMF474.250370627",76.909788181742,218.448167811295,58.8080341860262,5.46039216545195,141.487662065228,105.550778093615,134.252330609907,10.4832305137125,431.172461606011,10.3973844076606,241.39973939441,13.2401611221039,1447.61013015716
"CNPMF48.250370295",84.1790656662558,305.852478204445,64.8834154776951,5.61539420451508,138.805816163767,109.16290187949,109.767618704347,9.92326081241698,453.58439081291,10.9494941851467,255.339698553554,13.0839911887052,1561.14752585325
"CNPMF484.250370652",81.2519876548751,194.53072676113,57.7382959175421,6.30653294062695,140.031135562811,113.576931598816,130.349362585109,10.4602209599667,366.047710067394,10.7177884630556,197.678834844179,13.5070207558726,1322.19654811138
"CNPMF489.250370663",81.183495685638,184.456286743525,41.6224528231013,6.1489853806523,127.724906215768,111.127184749978,153.084409785212,10.6541430286097,431.760994772058,11.4136663479486,241.726105904039,13.6783838107848,1414.58101524732
"CNPMF512.250370677",180.14104513076,285.808841070598,70.5544442790792,6.66413988683901,172.451882592068,122.486485889478,253.334717147978,11.1975351529672,376.580637293569,10.7555676258639,204.861385764765,20.0480219390867,1714.88470377305
"CNPMF514.250370678",98.6406770221975,257.242730045006,70.5031295965176,6.20561744780207,140.245697016381,121.063400585132,136.694688313102,11.5684135877595,NA,NA,NA,NA,842.164353613898
"CNPMF523.250370702",96.8846895583796,224.79015917922,56.6906092688604,6.06610059143353,150.167491434647,113.516277430413,156.514234680198,11.197219725959,NA,NA,NA,NA,815.82678186911
"CNPMF527.250370713",78.3283868588544,237.342802894848,41.5454337356761,5.75884930997428,137.451789077876,113.180519289313,105.726617114122,9.79421669790972,447.416255116067,9.77585191300077,252.127071981879,13.1644550239025,1451.61224901342
"CNPMF536.250370643",104.369029647938,282.387879969052,82.1184543623006,6.33143440035138,142.176238305049,125.537938006461,134.652316341396,10.7937220892944,NA,NA,NA,NA,888.367013121842
"CNPMF537.250370644",85.0098777201117,185.296331152965,50.4733894881079,5.77059942857714,130.801835545385,109.789400624951,142.107435394646,10.5215592214243,NA,NA,NA,NA,719.770428576168
"CNPMF549.250370704",95.8696491638489,234.291913735549,58.9208970684748,6.41140356226788,156.217380667833,129.741320723892,145.900887708744,10.5462616308041,470.770801094161,10.6470341206565,267.190600619934,15.3465793106321,1601.8547294068
"CNPMF551.250370716",83.2494573872831,233.338435921638,75.2843585536174,6.207222171704,124.364940769554,111.50868834448,116.97359171099,11.0063787891661,410.956425557909,9.30790493158711,227.778777639622,13.5933683444865,1423.56955012204
