"ID_Clone","FRY","HI","N_Roots","Plant.Height","Root.Di","Root.Le","ShY","Stem.D","DMC","Nstem.Plant","StC","StY","pesos"
"BGM0949.250437235",85.8867125801402,231.07939930128,58.5809106465813,5.93775450920951,140.626240441079,112.480324328368,127.529576088138,10.5268044190213,420.068744624409,10.2417841663714,233.516030816294,13.4405681714159,1449.91485009231
"BGM0955.250437245",98.2596077660971,241.413625207181,64.5159743233088,5.86509738196399,144.429814141065,116.626277304395,149.080786245876,10.6526005637735,439.554920420783,10.8924237859224,246.639597796423,15.2770674060009,1543.20779234279
"BGM0961.250437240",87.191591354772,235.706641842528,58.8230212507549,5.89340119698995,141.306688852986,112.087144103384,125.72557920691,10.4320091200402,416.30870899406,10.2271594132599,231.106584782776,13.8269758391128,1448.63550595757
"BGM0962.250437248",82.9472658253474,234.027890477481,56.882192739944,5.90914965726385,139.980883064012,111.925676555166,119.170286305437,10.4423084798953,416.63263960759,10.3014685821801,231.28123580823,13.1218543190274,1432.62285142157
"BGM0967.250494240",96.5616103300063,258.741013831189,67.0749966152304,6.18014194150563,141.77791460691,114.833464045542,134.276945368062,10.4697208292681,435.976747217619,10.3072000876688,243.963993969586,13.9275123222252,1534.09126116481
"BGM0971.250494247",83.08894980045,230.000499242525,59.0989007021168,5.87755448955597,140.324626806696,112.376582594934,114.700008373416,10.4920824274288,416.032129721607,10.2929270779746,230.979649335861,13.2414411375081,1426.50535171007
"BGM0973.250437252",87.8017289151591,238.257184042404,60.4647816274477,5.79361032162513,140.280564831247,117.040964632668,124.264232842561,10.7623870935238,NA,10.3408181960715,NA,NA,795.006272502707
"BGM0975.250437253",91.5076355796268,251.43514555761,64.867178291788,5.92738993840382,142.992194322688,114.247098732463,124.337415460453,10.1109797909979,424.180518472195,10.3701108058428,236.301217927135,13.6359462801388,1489.91283115934
"BGM0978.250437262",96.4646492160287,244.126245737261,65.8157276408322,5.95182736226615,142.667932678516,114.695123319125,145.55573987346,10.4625224023281,432.389147782427,10.8077781897147,241.93708348008,14.2806488554543,1525.15442653749
"BGM0980.250437263",83.7182505006295,233.353770473001,59.0556681824339,5.89368357919482,140.007963195786,112.952738681064,115.525607977929,10.432603589084,421.505904373836,10.3416936566464,234.645956993014,13.4691448840408,1440.90298608666
"BGM0981.250437256",81.3077977807068,232.085195499841,57.4684981873027,5.90391072690177,139.779919998622,112.59092050521,107.581982634536,10.3666004759632,410.60067188901,10.1900964361356,227.448627249661,13.0619113102335,1408.38613269412
"BGM0982.250437264",78.9984405075521,235.215996771675,56.9125477112661,5.91698164000873,141.014283639145,113.111866353574,98.953007418334,10.2552408002306,412.728170206199,10.1844920211139,228.810127596278,12.9611156246609,1405.06227029004
"BGM0984.250437265",99.5593971311525,249.546176302542,63.8445889937632,5.94954264408247,144.076113792969,115.093041507151,142.246214765999,10.5178078656195,442.873368398336,10.5752849840716,248.819679329429,15.159735629136,1548.26095134425
"BGM0985.250437258",100.181788410803,242.189830441586,65.6476152526183,5.91082569097358,146.065286258464,117.770880079131,153.803232132753,10.6100213528761,437.053420014347,10.6573062959024,245.065078103914,15.3458602805059,1550.30114431388
"BGM0986.250437266",83.3414231496303,232.706935060292,59.2946703604031,NA,139.068093151442,113.003786117935,115.300233453317,10.3970173668175,415.700833110458,NA,230.726637704655,13.4453908621181,1412.98502033707
"BGM0989.250437306",94.0902062509865,232.121581348236,64.0022295186013,5.74592582362602,141.552844955017,116.220916210395,145.985587438277,11.0053253680051,436.130150905372,10.5427873689256,244.192812105924,14.4481129117342,1516.0384802051
"BGM0996.250437309",81.9169702167194,228.814145355463,58.346418330167,5.84829700737805,139.235657219887,112.361483834008,113.429091832606,10.4389575741644,415.055315827908,10.2264827762848,230.188870933591,13.2667640662233,1419.1284549744
"BGM0998.250437302",93.8399097036327,243.52330193039,62.6514555644422,6.01776670587953,142.820025866081,114.295759978808,135.44118994759,10.4735300470502,NA,NA,NA,NA,809.062939743874
"BGM1023.250437312",89.3005382127791,230.258960344938,58.5875679685647,6.11309032067424,144.817436598132,110.476198698933,133.166850381682,10.23006851936,449.020935361093,10.768245761876,252.93739402932,14.6090629555383,1510.28634915289
"BGM1024.250437305",103.176234314609,238.446790776591,63.1931864975287,6.13993720022858,144.068549916678,113.601102469093,145.486948711554,10.4070115008522,448.990000563,10.8244150929977,252.769595778606,19.4141005550803,1556.51787337682
"BGM1029.250437323",95.9679065739222,236.401782906672,66.0833125556165,6.06052965275266,145.995006601293,115.773141732336,141.651677811359,10.6198754957405,432.442544748153,10.9097545588212,241.973715113904,14.800007493745,1518.67925524432
"BGM1031.250437316",96.5951751996145,240.764950612561,66.5456853141247,6.15840642077894,142.743732582021,118.277966257752,163.864654954682,10.5700635011822,NA,NA,NA,NA,845.520634842716
"BGM1034.250437324",92.8730747524897,234.766738490565,64.0046249570945,5.9961553297911,142.129291135914,112.222678093755,139.893629279251,10.3160548657079,438.078507146591,10.6090217046297,245.569409438025,13.9436938549412,1510.40287904875
