probIn scale
0.3022489 0.001025143
0.2998044 0.001006216
0.3103207 0.0009993847
0.2911597 0.0009901959
0.286744 0.001002943
0.294682 0.001029081
0.3071572 0.001039945
0.3061014 0.001042942
0.3222333 0.001037788
0.3072472 0.001027234
0.3113555 0.001015708
0.3102354 0.001025988
0.3068788 0.001010965
0.317185 0.001007493
0.3246854 0.0009906397
0.316672 0.000972365
0.3020549 0.0009794312
0.3121446 0.001006408
0.3125507 0.001007687
0.3193282 0.00101027
0.324684 0.001012407
0.3174944 0.001023458
0.326823 0.001016885
0.3181073 0.00103247
0.3291677 0.001018212
0.3256508 0.001010739
0.312094 0.001019584
0.3110877 0.001030116
0.3072074 0.001052234
0.3054393 0.001041311
0.3039069 0.001064479
0.3205796 0.001045337
0.3227118 0.001045435
0.3178444 0.001045519
0.3353152 0.001052937
0.3338006 0.001046232
0.3400179 0.001058958
0.3455418 0.001048551
0.3567457 0.001050038
0.3393245 0.001054478
0.3325253 0.001062198
0.3324905 0.001067587
0.3258029 0.001055259
0.320352 0.001043883
0.3126065 0.001019099
0.3248266 0.001008746
0.3333074 0.0009928677
0.3262053 0.0009951719
0.311084 0.0009838459
0.3153695 0.0009896475
0.3027343 0.0009846544
0.3092692 0.0009989008
0.3034196 0.001003159
0.3023184 0.0009997807
0.2967 0.0009769215
0.2974214 0.0009840723
0.2966923 0.000997958
0.2981866 0.0009921598
0.3008707 0.001009631
0.300337 0.001017479
0.3005291 0.00103877
0.3083533 0.001032367
0.3090544 0.001049566
0.3088678 0.001030766
0.3116152 0.00103474
0.3367409 0.001026958
0.3423956 0.001059257
0.3368291 0.001054345
0.3314538 0.001033792
0.3266352 0.001022408
0.3236817 0.001025421
0.3333321 0.001024647
0.3262077 0.0009970258
0.325783 0.000995167
0.3293031 0.0009736242
0.3363178 0.0009772142
0.3183419 0.0009668275
0.3082056 0.000959108
0.3068326 0.0009464685
0.3113442 0.0009371148
0.3199733 0.0009443078
0.3232518 0.0009430114
0.3200144 0.0009460029
0.3063075 0.0009605781
0.308424 0.0009511539
0.3234757 0.0009476084
0.3267396 0.0009460915
0.3299722 0.0009526205
0.317397 0.0009561543
0.3132624 0.0009588898
0.3203758 0.0009408786
0.3152979 0.0009440868
0.3200087 0.0009327015
0.3238102 0.0009109516
0.3359906 0.0008953583
0.333859 0.0008809812
0.3200499 0.0008909972
0.3094095 0.0008943581
0.2956814 0.0008769434
0.2956668 0.0008945316
0.3008499 0.000892574
0.2851572 0.0008988117
0.285386 0.0008848368
0.2888712 0.0008906666
0.3003908 0.0009070364
0.3003962 0.0009027604
0.2912003 0.0009185757
0.2934059 0.00092003
0.2904516 0.0009353083
0.2905568 0.0009375379
0.3030885 0.0009329339
0.2928656 0.0009264142
0.3029233 0.0009133951
0.298154 0.0009280625
0.3023576 0.0009324948
0.2981933 0.0009466622
0.3017028 0.0009514141
0.297806 0.0009616472
0.2933157 0.0009760454
0.2697629 0.0009757397
0.286646 0.0009959802
0.2895579 0.0009994162
0.2849352 0.001030296
0.2762928 0.001034869
0.2617015 0.001031206
0.2574953 0.001031392
0.2466549 0.001036421
0.2437514 0.001038649
0.2440983 0.001044446
0.2443846 0.001035698
0.246723 0.001016975
0.2520555 0.0009971588
0.2542982 0.0009701079
0.2611313 0.000980732
0.2764407 0.0009930049
0.271769 0.0009856489
0.2603652 0.0009659898
0.2706508 0.0009690512
0.2709175 0.0009778255
0.2824726 0.000962367
0.2801254 0.0009621019
0.2782236 0.0009849994
0.2759173 0.0009650119
0.2784359 0.0009702806
0.2776258 0.0009523869
0.2804771 0.0009820103
0.2813354 0.0009625818
0.2631416 0.0009646546
0.2576184 0.0009719005
0.2597798 0.0009922503
0.2507873 0.000987408
0.2572816 0.0009729661
0.2630017 0.0009749608
0.2692473 0.0009795999
0.2668535 0.000960185
0.2625553 0.0009951282
0.263138 0.0009777281
0.2564372 0.0009723338
0.2544991 0.0009583685
0.2438924 0.0009580805
0.2292183 0.0009572316
0.2366244 0.0009631633
0.2579816 0.0009547672
0.2582087 0.0009476269
0.2503835 0.0009399584
0.2490962 0.0009322346
0.258764 0.0009302184
0.2584568 0.0009321666
0.2526952 0.0009321012
0.2529323 0.0009253695
0.2543811 0.0009312169
0.2612931 0.0009399088
0.2610687 0.0009381164
0.2603181 0.0009293457
0.2635712 0.0009377437
